location,image_id,uni_name
shag1,Shag_19_11_26,Shag Rock 2019-11-26
shag1,Shag_19_12_20,Shag Rock 2019-12-20
shag1,Shag_20_01_30,Shag Rock 2020-01-30
shag1,Shag_20_02_22,Shag Rock 2020-02-22
shag1,Shag_20_09_20,Shag Rock 2020-09-20
shag1,Shag_20_10_08,Shag Rock 2020-10-08
shag1,Shag_20_11_15,Shag Rock 2020-11-15
shag1,Shag_20_12_19,Shag Rock 2020-12-19
shag1,Shag_20_12_26,Shag Rock 2020-12-26
shag1,Shag_21_01_12,Shag Rock 2021-01-12
shag1,Shag_21_01_28,Shag Rock 2021-01-28
shag1,Shag_21_02_04,Shag Rock 2021-02-04
shag1,Shag_21_03_26,Shag Rock 2021-03-26
shag1,Shag_21_04_13,Shag Rock 2021-04-13
shag_extra1,Shag_20_01_10,Shag Rock 2020-01-10
shag_extra1,Shag_20_03_17,Shag Rock 2020-03-17
shag_extra1,Shag_20_11_26,Shag Rock 2020-11-26
shag_extra1,Shag_21_02_21,Shag Rock 2021-02-21
shag_extra1,Shag_21_03_10,Shag Rock 2021-03-10
shag_extra1,Shag_21_09_30,Shag Rock 2021-09-30
shag_extra1,Shag_21_11_03,Shag Rock 2021-11-03
shag_extra1,Shag_21_11_24,Shag Rock 2021-11-24
shag_extra1,Shag_21_12_06,Shag Rock 2021-12-06
shag_extra1,Shag_21_12_30,Shag Rock 2021-12-30
shag_extra1,Shag_22_01_05,Shag Rock 2022-01-05
shag_extra1,Shag_22_01_12,Shag Rock 2022-01-12
shag_extra1,Shag_22_01_23,Shag Rock 2022-01-23
shag_extra1,Shag_22_02_09_PH4,Shag Rock 2022-02-09
shag_extra1,Shag_22_02_18,Shag Rock 2022-02-18
shag_extra1,Shag_22_02_28_Ins,Shag Rock 2022-02-28
shag_extra1,Shag_22_02_28_Mavic,Shag Rock 2022-02-28
melville2,Mellvile_Phantom_lot_1_2022_12_04,Cape Melville 2022-12-04
melville2,Melville_Inspire_22_12_12,Cape Melville 2022-12-12
turret1,Turret_Redu_20_12_31,Turret Point 2020-12-31
turret1,Turret_Redu_21_11_23,Turret Point 2021-11-23
turret1,Turret_Redu_22_01_06,Turret Point 2022-01-06
shag2,Shag_22_09_24,Shag Rock 2022-09-24
shag2,Shag_22_11_15,Shag Rock 2022-11-15
turret2,Turret_ 22_10_29_redu,Turret Point 2022-10-29
turret2,Turret_22_12_12_redu,Turret Point 2022-12-12
melville3,Melville_2023_11_11_transparent_mosaic_group1,Cape Melville 2023-11-11
new_islands1,2022_12_26_Red_Hill_Island,Unnamed Island B 2022-12-26
new_islands1,22_12_12_nn_island,Unnamed Island A 2022-12-12
new_islands1,Trowbridge_SW_annex,Trowbridge Island 2022-12-12
kgi_west2,Fregata_Island_20161211,Fregata Island 2016-12-11
kgi_west2,Rzepecki Islands_north_20161228,Rzepecki Island 2016-12-28
nelson1,Nelson,Nelson Island 2018-12-27
rzepecki1,Rzepecki Islands_north_20161230,Rzepecki Island 2016-12-30
kwarecki1,Kwarecki_Point 20161228,Kwarecki Island 2016-12-28
unnamed_c1,Unnamed Island_20161225,Unnamed Island C 2016-12-25
fregata1,Fregata_Island_20161220,Fregata Island 2016-12-20
